#商品名,商品タイプ,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,スワップポイント,取引数量,建玉数量
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/01,113.98,114.145,114.46,113.925,114,114,0.02,8,24,775,394,819
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/02,114,114.025,114.15,113.455,113.945,113.945,-0.055,,27,292,390,705
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/03,113.945,113.945,114.205,113.705,114.005,114.005,0.06,19,15,533,391,102
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/04,114.005,113.98,114.28,113.5,113.775,113.755,-0.25,6,22,027,388,179
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/05,113.755,113.77,114.035,113.29,113.35,113.335,-0.42,6,29,144,387,123
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/08,113.335,113.39,113.675,113.07,113.235,113.235,-0.1,11,22,970,384,041
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/09,113.235,113.275,113.3,112.715,112.86,112.88,-0.355,,25,096,381,305
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/10,112.88,112.915,114.005,112.765,113.89,113.89,1.01,18,30,978,380,225
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/11,113.89,113.89,114.17,113.795,114.075,114.075,0.185,8,18,700,381,320
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/12,114.075,114.075,114.315,113.75,113.88,113.88,-0.195,6,21,767,379,953
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/15,113.88,113.975,114.215,113.745,114.125,114.125,0.245,5,11,517,379,892
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/16,114.125,114.115,114.865,114.1,114.845,114.845,0.72,6,30,050,383,230
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/17,114.845,114.84,114.98,113.925,114.115,114.115,-0.73,15,33,644,381,774
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/18,114.115,114.16,114.5,113.875,114.255,114.255,0.14,13,20,700,381,306
USD/JPY,U.S. Dollar-Japanese Yen,2021/11/19,114.255,114.24,114.555,113.585,114.01,114.01,-0.245,15,45,016,377,051
